Region,Country,Division,Unique Locations,Population Size,Area size (sqm),Year ,Source
Africa,Burkina Faso,Hauts-Bassins,Bobo Dioulasso,903887,,2019,citypopulation.de
Africa,Eq. Guinea,Bioko Norte,Baney,29366,,2015,Wikipedia
Africa,Eq. Guinea,Bioko Norte,Malabo,155963,,2021,worlometers.info
Africa,Eq. Guinea,Litoral,Bata,173046,,2021,worlometers.info
Africa,Ghana,Greater Accra,Accra,2514000,,2020,macrotrends.net
Africa,South Africa,Eastern Cape,Amathole,880790,,2016,municipalities.co.za
Africa,South Africa,Eastern Cape,Nelson Mandela Bay,1319741,,2021,population.city
Africa,South Africa,Eastern Cape,Sarah Baartman,479923,,2016,municipalities.co.za
Africa,South Africa,KwaZulu-Natal,Amajuba,531327,,2016,municipalities.co.za
Africa,South Africa,KwaZulu-Natal,Berea,102920,,2011,SA Census 2011
Africa,South Africa,KwaZulu-Natal,eThekwini,3834753,,2021,population.city
Africa,South Africa,KwaZulu-Natal,Harry Gwala,510865,,2016,municipalities.co.za
Africa,South Africa,KwaZulu-Natal,iLembe,657612,,2016,municipalities.co.za
Africa,South Africa,KwaZulu-Natal,King Cetshwayo,971135,,2016,municipalities.co.za
Africa,South Africa,KwaZulu-Natal,Ugu,753336,,2016,municipalities.co.za
Africa,South Africa,KwaZulu-Natal,Umbilo,11311,,2001,Wikipedia
Africa,South Africa,KwaZulu-Natal,uMgungundlovu,1095865,,2016,municipalities.co.za
Africa,South Africa,KwaZulu-Natal,uMkhanyakude,689090,,2016,municipalities.co.za
Africa,South Africa,KwaZulu-Natal,uMzinyathi,554882,,2016,municipalities.co.za
Africa,South Africa,KwaZulu-Natal,uThukela,706588,,2016,municipalities.co.za
Africa,South Africa,KwaZulu-Natal,Zululand,892310,,2016,municipalities.co.za
Africa,South Africa,Western Cape Province,Bitou,82822,,2021,population.city
Africa,South Africa,Western Cape Province,Cape Town,4836314,,2021,population.city
Africa,South Africa,Western Cape Province,Cape Town Metro,11916,,2011,SA Census 2011
Africa,South Africa,Western Cape Province,George,251003,,2021,population.city
Africa,South Africa,Western Cape Province,Klipfontein,410338,,2020,westerncape.gov.za
Africa,South Africa,Western Cape Province,Knysna,90594,,2021,population.city
Africa,South Africa,Western Cape Province,Mossel Bay,111866,,2021,population.city
Africa,South Africa,Western Cape Province,Oudtshoorn,108666,,2021,population.city
Africa,South Africa,Western Cape Province,West Coast,436403,,2016,municipalities.co.za
Asia,Bangladesh,Chattogram,Brahmanbaria,3729989,,2021,population.city
Asia,Bangladesh,Chattogram,Chandpur,3033027,,2021,population.city
Asia,Bangladesh,Dhaka,Narayanganj,3658027,,2021,population.city
Asia,Bangladesh,Khulna,Jashore,3318750,,2021,population.city
Asia,Bangladesh,Sylhet,Habiganj,2725224,,2021,population.city
Asia,Bangladesh,Sylhet,Moulvibazar,2404250,,2021,population.city
Asia,China,Guangdong,Guangzhou,14384577,,2021,population.city
Asia,China,Guangdong,Shenzhen,17352233,,2021,population.city
Asia,China,Hubei,Wuhan,8468080,,2021,population.city
Asia,China,Shandong,Qingdao,5517135,,2021,population.city
Asia,China,Zhejiang,Hangzhou,8613806,,2021,population.city
Asia,Hong Kong,Hong Kong,Hong Kong,7617781,,2021,population.city
Asia,India,Delhi,New Delhi,161885,,2020,censusindia.gov.in
Asia,India,Gujarat,Ahmedabad,7868633,,2020,population.un.org
Asia,India,Gujarat,Choryasi,1153,,2011,census2011.co.in
Asia,India,Gujarat,Daskroi,371616,,2020,indiagrowing.com
Asia,India,Gujarat,Gandhinagar,1391753,,2011,citypopulation.de
Asia,India,Gujarat,Jamnagar,648404,,2021,population.city
Asia,India,Gujarat,Modasa,67648,,2011,census2011.co.in
Asia,India,Gujarat,Patan,133737,,2011,census2011.co.in
Asia,India,Gujarat,Rajkot,1928066,,2021,population.city
Asia,India,Gujarat,Surat,7497309,,2021,population.city
Asia,India,Gujarat,Vadodara,2226955,,2021,population.city
Asia,India,Haryana,Faridabad,1893613,,2021,population.city
Asia,India,Haryana,Gurugram,3556534,,2021,population.city
Asia,India,Haryana,Palwal,128730,,2011,census2011.co.in
Asia,India,Haryana,Panchkula,316984,,2021,population.city
Asia,India,Karnataka,Bengaluru Urban,12733228,,2021,population.city
Asia,India,Maharashtra,Aurangabad,1595154,,2021,population.city
Asia,India,Maharashtra,Mumbai,20589317,,2021,population.city
Asia,India,Maharashtra,Raigad,2634200,,2011,census2011.co.in
Asia,India,Maharashtra,Thane,11060148,,2011,census2011.co.in
Asia,India,Tamil Nadu,Chennai,11414735,,2021,population.city
Asia,India,Telangana,Hyderabad,10264061,,2021,population.city
Asia,India,Telangana,Karimnagar,405286,,2021,population.city
Asia,India,Telangana,Nalgonda,213831,,2021,population.city
Asia,India,Telangana,Nizamabad,335325,,2021,population.city
Asia,India,Telangana,Rangareddy,5296741,,2011,census2011.co.in
Asia,India,Uttar Pradesh,Lucknow,3752799,,2021,population.city
Asia,India,Uttarakhand,Dehradun,940309,,2021,population.city
Asia,India,Uttarakhand,Haridwar,437539,,2021,population.city
Asia,India,Uttarakhand,Tehri Garhwal,618931,,2011,census2011.co.in
Asia,India,West Bengal,Howrah,2110640,,2020,indiapopulation2020.in
Asia,India,West Bengal,Kolkata,14965292,,2021,population.city
Asia,India,West Bengal,North 24 Parganas,10660115,,2019,indiagrowing.com
Asia,Indonesia,East Java,Surabaya,2972091,,2021,worldpopulationreview.com
Asia,Israel,Central District,Kfar Saba,110882,,2021,population.city
Asia,Israel,Haifa District,Haifa,292055,,2021,population.city
Asia,Israel,Jerusalem District,Jerusalem,968254,,2021,population.city
Asia,Israel,South District,South Coast District,1330600,,2019,citypopulation.de
Asia,Israel,Tel Aviv District,Bnei Brak,214364,,2021,population.city
Asia,Israel,Tel Aviv District,Tel-Aviv,460680,,2021,population.city
Asia,Japan,Aichi,Nagoya,2298980,,2021,population.city
Asia,Oman,South Batinah,Barka,181630,,2020,citypopulation.de
Asia,Saudi Arabia,Eastern Province,Qatif,166603,,2021,population.city
Asia,Singapore,Singapore,Singapore,5685807,,2020,citypopulation.de
Asia,Taiwan,Taiwan,Taipei,2602418,,2020,citypopulation.de
Asia,Taiwan,Taiwan,Taoyuan,2268807,,2020,citypopulation.de
Asia,Vietnam,Red River Delta,Hanoi,3605364,,2020,citypopulation.de
Europe,Austria,Tyrol,Innsbruck,138842,,2021,population.city
Europe,Austria,Tyrol,Ischgl,1604,,2019,citypopulation.de
